"ID";"Gender";"Periods";"TotalDeaths_1"
"192";"4000   ";"1998JJ00";"   69273"
"193";"4000   ";"1999JJ00";"   71615"
"194";"4000   ";"2000JJ00";"   71754"
"195";"4000   ";"2001JJ00";"   72058"
"196";"4000   ";"2002JJ00";"   73357"
"197";"4000   ";"2003JJ00";"   72924"
"198";"4000   ";"2004JJ00";"   70194"
"199";"4000   ";"2005JJ00";"   70040"
"200";"4000   ";"2006JJ00";"   70078"
"201";"4000   ";"2007JJ00";"   68225"
"202";"4000   ";"2008JJ00";"   70234"
"203";"4000   ";"2009JJ00";"   68870"
"204";"4000   ";"2010JJ00";"   70081"
"205";"4000   ";"2011JJ00";"   70482"
"206";"4000   ";"2012JJ00";"   72906"
"207";"4000   ";"2013JJ00";"   72885"
"208";"4000   ";"2014JJ00";"   72102"
"209";"4000   ";"2015JJ00";"   76105"
"210";"4000   ";"2016JJ00";"   76817"
"211";"4000   ";"2017JJ00";"   77553"
"212";"4000   ";"2018JJ00";"   78841"
"213";"4000   ";"2019JJ00";"   77453"
"214";"4000   ";"2020JJ00";"   84361"
"215";"4000   ";"2021JJ00";"   85203"
